ID, Year 年度, MW 尖峰負載, PowerBackUp 備用容量率(%)
1, 1982年,6918,26.8
2,1983,7808,29.2
3,1984,8517,22.1
4,1985,8716,55.1
5,1986,9900,48.3
6,1987,11113,35.0
7,1988,12331,21.7
8,1989,13422,14.0
9,1990,14511,7.4
10,1991,15321,4.8
11,1992,16704,6.7
12,1993,17666,4.2
13,1994,18610,4.8
14,1995,19933,4.7
15,1996,21762,5.6
16,1997,22237,11.0
17,1998,23830,7.7
18,1999,24206,12.5
19,2000,25854,12.6
20,2001,26290,13.2
21,2002,27117,16.0
22,2003,28594,14.6
23,2004,29034,20.2
24,2005,30943,16.3
25,2006,32060,16.1
26,2007,32791,16.2
27,2008,31320,21.1
28,2009,31011,28.1
29,2010,33023,23.4
30,2011,33787,20.6
31,2012,33081,22.7
32,2013,33957,17.5
33,2014,34821,14.7
34,2015,35248,11.5
35,2016,35864,10.4
36,2017,36453,9.8
37,2018,37057,10.0
38,2019,37067,16.8
39,2020,37715,16.4
40,2021,38607,13.5
